company_name,status_label,year,current_assets,cogs,depreciation_&_amortization,ebitda,inventory,net_income,total_receivables,market_value,net_sales,total_assets,longterm_debt,ebit,gross_profit,current_liabilities,retained_earnings,total_revenue,total_liabilities,total_operating_expenses
C_3,alive,2000,7.884,16.506,0.7,0.672,4.078,-0.808,3.244,4.5428,25.367,11.608,4.875,-0.028,8.861,2.278,-7.184,25.367,7.153,24.695
C_3,alive,2004,5.807,12.018,0.16,1.614,2.704,1.345,2.504,13.9065,19.833,6.245,0.222,1.454,7.815,3.222,-8.974,19.833,3.58,18.219
C_3,alive,2005,7.726,14.013,0.177,1.856,3.921,1.9,2.704,19.7568,23.135,8.153,58.9395,1.679,9.122,3.375,-7.073,23.135,3.49,21.279
C_3,alive,2006,13.582,15.454,0.216,1.252,4.835,1.005,2.757,29.0131,24.998,14.341,58.9395,1.036,9.544,3.6,-5.977,24.998,3.672,23.746
C_3,alive,2007,13.454,17.589,0.5,-0.432,6.395,-4.673,5.031,30.4793,28.72,27.171,5.822,-0.932,11.131,6.259,-10.708,28.72,12.296,29.152
C_5,alive,1999,28.957,79.567,2.024,3.873,10.947,-0.138,15.89,6.1972,107.31,42.21,0.591,1.849,27.743,39.835,-33.199,107.31,52.453,103.437
C_7,alive,1999,27.276,15.475,0.729,1.171,5.125,-0.366,17.204,20.6275,23.862,51.073,28.29,0.442,8.387,12.934,-2.683,23.862,41.937,22.691
C_7,alive,2000,28.391,71.924,1.951,3.96,7.472,-0.69,17.373,10.8433,89.817,55.896,26.101,2.009,17.893,16.759,-3.984,89.817,48.828,85.857
C_7,alive,2001,26.587,71.406,2.076,6.381,7.729,-0.264,17.0,31.7262,90.994,53.03,18.588,4.305,19.588,18.524,-4.901,90.994,43.209,84.613
C_7,alive,2002,21.724,63.52,1.254,3.455,7.342,-0.123,12.037,17.7415,78.877,46.677,16.202,2.201,15.357,15.447,-5.202,78.877,37.266,75.422
C_7,alive,2003,18.432,55.201,1.192,2.556,4.915,-0.667,11.398,16.4753,68.159,41.154,13.388,1.364,12.958,14.723,-6.603,68.159,33.124,65.603
C_7,alive,2004,21.779,56.372,1.153,2.338,5.87,-0.928,14.055,34.3759,69.366,43.441,11.894,1.185,12.994,19.869,-7.397,69.366,36.192,67.028
C_7,alive,2005,21.795,64.509,1.179,4.704,6.662,-0.435,13.151,57.3588,81.521,42.9,12.847,3.525,17.012,18.193,-7.863,81.521,36.117,76.817
C_7,alive,2006,42.653,111.261,1.229,7.276,13.521,3.094,26.925,103.0205,135.359,63.188,14.872,6.047,24.098,28.342,-5.258,135.359,48.265,128.083
C_7,alive,2007,67.534,195.591,1.58,14.214,16.235,6.305,47.736,162.3832,235.953,96.535,4.429,12.634,40.362,46.314,0.337,235.953,55.609,221.739
C_7,alive,2008,69.819,172.874,3.176,11.371,18.856,5.01,47.574,34.6617,217.89,120.017,25.2,8.195,45.016,44.976,3.381,217.89,75.504,206.519
C_7,alive,2010,48.452,106.692,1.758,6.398,12.777,2.105,26.772,85.3412,140.602,74.791,10.8,4.64,33.91,26.497,-7.851,140.602,39.617,134.204
C_7,alive,2011,53.47,100.066,1.399,13.767,14.987,8.272,23.109,80.5638,139.192,79.345,9.6,12.368,39.126,23.609,-1.049,139.192,36.355,125.425
C_7,alive,2012,64.321,91.69,1.25,17.933,9.645,10.85,29.499,168.7421,135.052,94.104,58.9395,16.683,43.362,27.54,7.379,135.052,32.11,117.119
C_8,alive,1999,82.923,92.091,6.554,27.638,32.637,9.757,39.967,363.8543,157.104,165.216,24.608,21.084,65.013,32.557,-5.421,157.104,63.123,129.466
C_12,alive,1999,32.3,152.664,3.068,11.872,2.352,-0.457,20.031,11.01,174.133,102.846,51.93,8.804,21.469,21.48,17.725,174.133,80.5,162.261
C_12,alive,2000,29.086,136.313,2.762,7.902,1.483,0.676,14.549,10.3005,154.075,97.62,50.181,5.14,17.762,17.644,17.931,154.075,75.114,146.173
C_12,alive,2001,34.617,104.017,3.165,5.766,13.184,0.812,11.964,15.1588,117.326,90.941,35.163,2.601,13.309,24.589,18.274,117.326,68.162,111.56
C_12,alive,2002,19.51,63.993,1.888,1.976,0.503,-1.074,12.582,11.5394,74.015,73.797,33.524,0.088,10.022,11.872,16.735,74.015,52.539,72.039
C_12,alive,2004,16.187,12.428,1.197,0.871,0.627,1.8,2.652,14.8577,22.636,57.067,25.355,-0.326,10.208,5.737,15.186,22.636,36.154,21.765
C_12,alive,2005,13.236,9.801,0.87,-0.307,0.539,0.526,3.312,15.7174,18.183,52.41,21.29,-1.177,8.382,4.584,13.227,18.183,31.463,18.49
C_12,alive,2006,10.21,10.988,0.993,-1.005,0.552,0.967,2.226,15.3072,19.02,57.393,25.139,-1.998,8.032,4.486,13.685,19.02,35.933,20.025
C_12,alive,2010,9.513,18.932,0.337,-2.377,2.359,-2.319,4.005,8.5651,26.158,26.228,5.7,-2.714,7.226,5.95,3.603,26.158,13.347,28.535
C_14,failed,1999,69.961,146.095,0.355,7.766,29.644,6.091,27.015,73.784,169.189,86.159,0.925,7.411,23.094,20.502,31.224,169.189,21.427,161.423
C_14,failed,2000,73.839,157.003,0.582,9.755,38.453,6.344,27.908,66.374,184.789,88.081,0.908,9.173,27.786,23.569,35.697,184.789,24.477,175.034
C_14,failed,2001,90.558,148.628,0.909,7.759,37.818,4.245,41.5,65.1701,178.154,105.173,0.671,6.85,29.526,35.299,37.242,178.154,35.97,170.395
C_14,failed,2002,100.724,190.419,1.629,8.965,36.271,4.945,46.683,69.6583,229.329,115.703,58.9395,7.336,38.91,42.413,40.958,229.329,42.413,220.364
C_16,alive,1999,22.74,54.838,2.169,7.441,9.27,2.707,11.304,27.5736,79.813,41.388,5.987,5.272,24.975,10.552,-2.322,79.813,19.512,72.372
C_16,alive,2000,26.595,54.748,2.176,7.195,11.14,0.802,12.207,43.7891,80.914,46.21,10.313,5.019,26.166,9.649,-1.52,80.914,23.504,73.719
C_17,alive,1999,15.596,25.145,0.95,1.555,8.298,2.168,6.702,3.9454,34.309,20.767,5.012,0.605,9.164,8.64,-3.503,34.309,13.849,32.754
C_17,alive,2000,16.449,21.646,0.59,3.019,10.022,1.061,5.973,9.8663,34.413,21.118,4.924,2.429,12.767,7.988,-2.53,34.413,13.225,31.394
C_17,alive,2001,16.461,21.761,0.566,3.036,8.803,1.28,6.439,13.299,36.165,20.173,2.875,2.47,14.404,7.701,-1.462,36.165,11.501,33.129
C_17,alive,2002,14.932,19.762,0.483,1.593,6.674,0.659,6.41,12.7201,30.884,17.614,2.032,1.11,11.122,6.416,-1.529,30.884,9.134,29.291
C_17,alive,2003,17.191,21.408,0.434,2.92,8.179,1.222,7.075,17.6364,34.975,20.023,2.752,2.486,13.567,6.413,0.64,34.975,9.844,32.055
C_17,alive,2005,23.865,26.95,0.641,7.484,12.53,2.937,9.392,48.6227,49.946,28.194,5.577,6.843,22.996,7.54,6.475,49.946,14.129,42.462
C_17,alive,2006,31.487,31.445,0.835,7.548,15.677,3.886,10.852,50.6367,56.863,35.021,10.218,6.713,25.418,6.027,10.074,56.863,16.89,49.315
C_17,alive,2007,37.86,35.808,0.872,7.624,18.935,4.022,12.727,50.6306,63.173,42.222,10.187,6.752,27.365,8.482,14.758,63.173,19.176,55.549
C_17,alive,2008,38.646,40.054,1.008,7.887,21.769,4.467,10.564,23.5682,68.719,45.424,11.75,6.879,28.665,8.826,16.656,68.719,22.536,60.832
C_17,alive,2009,35.756,36.157,0.918,3.945,17.4,2.842,10.704,29.0514,59.149,42.309,9.154,3.027,22.992,6.803,19.694,59.149,17.768,55.204
C_17,alive,2010,42.627,38.914,0.87,3.85,22.292,2.573,12.331,29.2169,63.149,49.581,13.522,2.98,24.235,9.218,21.524,63.149,24.229,59.299
C_17,alive,2011,46.522,46.0,0.978,5.387,24.495,2.811,12.904,29.7825,73.302,55.222,17.568,4.409,27.302,8.705,23.364,73.302,27.447,67.915
C_17,alive,2012,58.409,53.533,1.09,6.451,30.292,3.549,16.442,34.5,84.37,67.828,24.32,5.361,30.837,11.73,26.295,84.37,36.962,77.919
C_17,alive,2013,56.986,56.548,1.205,7.084,28.219,4.003,15.629,47.6949,89.577,68.079,22.912,5.879,33.029,9.876,29.414,89.577,33.074,82.493
C_17,alive,2014,57.511,67.137,1.7,9.394,33.671,4.789,19.477,65.7871,107.222,79.308,24.147,7.694,40.085,15.363,32.137,107.222,39.88,97.828
C_17,alive,2015,59.634,67.799,2.052,9.799,35.508,4.794,19.565,58.2552,109.812,81.421,25.913,7.747,42.013,11.936,34.81,109.812,38.237,100.013
C_17,alive,2016,65.463,76.596,2.422,10.865,37.237,5.851,20.021,85.0203,124.574,92.066,32.936,8.443,47.978,12.82,39.525,124.574,45.946,113.709
C_19,alive,1999,13.08,15.121,1.497,-0.225,10.211,-2.294,2.366,15.9063,22.404,22.853,9.072,-1.722,7.283,7.404,-16.871,22.404,16.476,22.629
C_19,alive,2001,13.405,15.429,0.761,1.454,8.961,0.122,3.657,5.6133,22.809,17.623,6.998,0.693,7.38,4.143,-18.177,22.809,11.141,21.355
C_19,alive,2002,10.568,11.241,0.519,-1.213,7.862,-3.631,0.786,4.1846,15.978,12.856,3.15,-1.732,4.737,4.834,-21.808,15.978,7.984,17.191
C_19,alive,2003,10.245,11.619,0.493,1.899,5.698,0.868,2.88,14.0632,19.728,12.229,1.272,1.406,8.109,4.972,-20.94,19.728,6.244,17.829
C_19,alive,2004,13.19,11.064,0.507,2.431,4.735,7.877,3.651,28.9643,20.656,19.693,58.9395,1.924,9.592,2.239,-13.063,20.656,2.239,18.225
C_19,alive,2005,22.131,13.296,0.548,6.072,7.091,10.292,5.504,96.0169,28.519,31.116,58.9395,5.524,15.223,3.298,-2.771,28.519,3.298,22.447
C_19,alive,2006,28.602,14.437,0.531,6.139,7.44,3.427,3.565,80.052,32.445,35.306,58.9395,5.608,18.008,3.005,0.656,32.445,3.005,26.306
C_19,alive,2007,22.985,12.764,0.39,2.658,8.899,1.846,1.992,42.1974,26.976,30.145,58.9395,2.268,14.212,2.351,-4.196,26.976,2.351,24.318
C_19,alive,2009,20.557,13.651,0.672,4.171,6.623,2.363,3.767,42.1262,27.989,31.421,58.9395,3.499,14.338,2.759,-3.459,27.989,2.759,23.818
C_19,alive,2010,23.76,13.816,0.811,0.183,11.942,-0.66,3.9,24.3162,25.954,34.792,2.0,-0.628,12.138,4.016,-4.119,25.954,6.402,25.771
C_19,alive,2011,22.98,12.56,1.412,0.759,12.148,-0.493,4.155,14.8709,24.104,31.847,58.9395,-0.653,11.544,3.513,-4.612,24.104,3.778,23.345
C_19,alive,2012,27.332,13.156,1.355,4.248,13.345,2.065,2.062,22.7556,27.576,33.96,58.9395,2.893,14.42,3.695,-2.547,27.576,3.776,23.328
C_19,alive,2013,28.12,13.801,1.475,3.116,11.575,1.142,2.844,45.7949,27.023,34.023,58.9395,1.641,13.222,2.456,-1.405,27.023,2.603,23.907
C_19,alive,2014,32.405,16.599,1.185,3.713,12.112,1.623,3.266,65.592,30.971,36.986,58.9395,2.528,14.372,3.541,0.218,30.971,3.753,27.258
C_19,alive,2015,28.154,16.526,0.914,2.344,16.282,1.041,4.122,54.1001,29.722,39.449,58.9395,1.43,13.196,4.263,1.656,29.722,4.629,27.378
C_19,alive,2016,29.767,32.67,0.942,5.227,13.999,2.689,3.448,65.1938,50.689,42.544,58.9395,4.285,18.019,6.362,2.301,50.689,6.77,45.462
C_19,alive,2017,36.985,25.403,0.942,-0.159,14.358,-3.626,5.524,48.4646,39.395,42.801,58.9395,-1.101,13.992,10.313,-1.132,39.395,10.794,39.554
C_19,alive,2018,30.856,28.482,0.921,3.346,11.466,-0.195,5.721,48.0675,49.38,39.191,58.9395,2.425,20.898,9.883,-2.393,49.38,11.479,46.034
C_21,alive,1999,15.055,24.663,0.925,1.065,5.859,-0.645,8.305,6.603,31.061,20.684,0.171,0.14,6.398,15.621,2.489,31.061,16.414,29.996
C_21,alive,2001,11.243,19.353,1.063,2.269,6.098,0.271,4.73,12.2816,27.183,15.857,1.61,1.206,7.83,9.375,3.092,27.183,10.985,24.914
C_21,alive,2002,18.81,30.453,1.059,4.119,7.565,2.36,6.672,22.4502,40.857,22.931,1.582,3.06,10.404,13.739,5.451,40.857,15.699,36.738
C_24,alive,1999,17.435,14.39,0.53,1.507,10.606,0.26,5.349,42.8422,23.271,22.774,3.751,0.977,8.881,6.224,7.244,23.271,10.13,21.764
